Frame_number,Timestamp,License_plate_text,License_plate_coordinates,Confidence_score
263,2024-04-18 11:41:13,qB18IO8164,"(2, 171, 194, 210)",0.3043385763676775
264,2024-04-18 11:41:15,qB18IO8767,"(6, 172, 197, 209)",0.5435734367266315
267,2024-04-18 11:41:18,MP16BT5797,"(30, 362, 189, 398)",0.16583417437145598
267,2024-04-18 11:41:18,MP16BT5797,"(11, 177, 209, 214)",0.37973545467358305
267,2024-04-18 11:41:18,qB18IO8767,"(11, 177, 209, 214)",0.815095335595369
268,2024-04-18 11:41:19,qB18IO8767,"(18, 179, 212, 216)",0.9456435500377948
271,2024-04-18 11:41:22,WP16BT5797,"(52, 365, 207, 401)",0.2418945144440435
271,2024-04-18 11:41:22,WP16BT5797,"(29, 185, 219, 220)",0.08016228623208119
271,2024-04-18 11:41:22,WP16BT5797,"(29, 185, 219, 220)",0.9039404941451402
271,2024-04-18 11:41:22,WP16BT5797,"(29, 185, 219, 220)",0.2457394007574479
272,2024-04-18 11:41:22,WP16BT5797,"(57, 365, 211, 401)",0.22560483009942245
272,2024-04-18 11:41:23,qB18AO8767,"(31, 186, 226, 224)",0.6216829108007189
273,2024-04-18 11:41:24,qB18IO8767,"(36, 188, 229, 225)",0.7159990968932032
274,2024-04-18 11:41:24,PI68T5797,"(65, 366, 218, 401)",0.16076004283522935
275,2024-04-18 11:41:25,MP16BT5797,"(73, 367, 221, 402)",0.1878771052512498
276,2024-04-18 11:41:26,MP16BI5797,"(75, 367, 223, 402)",0.3139871040416282
278,2024-04-18 11:41:28,qB18IO8767,"(60, 195, 245, 233)",0.3350948526335524
278,2024-04-18 11:41:28,qB18IO8767,"(60, 195, 245, 233)",0.2151811191758605
279,2024-04-18 11:41:28,qB18IO8767,"(89, 369, 236, 403)",0.20984046822850239
285,2024-04-18 11:41:32,MP16BT5797,"(110, 376, 253, 407)",0.20722232854068676
285,2024-04-18 11:41:33,qO18IO8167,"(84, 208, 266, 243)",0.16587545555451239
287,2024-04-18 11:41:34,MP15LB5797,"(113, 375, 254, 406)",0.1596418524095916
287,2024-04-18 11:41:34,qO18AO8767,"(92, 211, 276, 245)",0.5973580200152174
289,2024-04-18 11:41:35,DL24O3150,"(1065, 478, 1171, 508)",0.31646397125157644
289,2024-04-18 11:41:36,DL24O3150,"(100, 215, 276, 248)",0.0415730684934892
291,2024-04-18 11:41:37,MP15LB5797,"(125, 379, 267, 410)",0.16302681259312363
293,2024-04-18 11:41:38,MP15BI5797,"(136, 380, 274, 412)",0.40901798982536325
294,2024-04-18 11:41:39,MR18BT5797,"(140, 381, 279, 414)",0.26881033755076705
295,2024-04-18 11:41:39,RI68T5797,"(142, 382, 282, 415)",0.3216986771488838
296,2024-04-18 11:41:40,qB18IO8767,"(125, 225, 298, 259)",0.4923165130036394
297,2024-04-18 11:41:40,WP16BT5797,"(151, 385, 286, 416)",0.3963062195861346
298,2024-04-18 11:41:41,PI68I5797,"(155, 386, 287, 416)",0.1671286549760641
299,2024-04-18 11:41:42,WP16BL5797,"(157, 384, 292, 416)",0.10344143305005091
300,2024-04-18 11:41:42,PI68I5797,"(160, 386, 296, 417)",0.19663257205135173
302,2024-04-18 11:41:44,MP15BT5797,"(170, 387, 299, 418)",0.18127754520781547
303,2024-04-18 11:41:44,MP16BI5797,"(173, 389, 300, 419)",0.10544325498709214
306,2024-04-18 11:41:46,WP15BT5797,"(178, 395, 307, 422)",0.207685290178183
306,2024-04-18 11:41:46,WP15BT5797,"(158, 241, 325, 274)",0.05038234308100609
308,2024-04-18 11:41:47,MP15UB5797,"(182, 395, 311, 423)",0.1664496214910244
309,2024-04-18 11:41:48,WP15BT5797,"(186, 395, 314, 424)",0.18317533271769246
310,2024-04-18 11:41:49,JP15LB5797,"(188, 396, 314, 425)",0.2130635753108914
312,2024-04-18 11:41:50,MP16BL5797,"(194, 397, 324, 428)",0.18569044853192845
313,2024-04-18 11:41:51,HP15BL5797,"(197, 397, 324, 429)",0.0884402714920228
314,2024-04-18 11:41:51,MP16BL5797,"(200, 398, 325, 430)",0.10657111329319564
315,2024-04-18 11:41:52,WP16BT5797,"(204, 401, 329, 432)",0.1653086859255055
315,2024-04-18 11:41:52,WP16BT5797,"(1167, 477, 1278, 511)",0.37081374562459285
316,2024-04-18 11:41:52,WP16BT5797,"(205, 401, 331, 432)",0.14140770545332393
316,2024-04-18 11:41:53,WP16BT5797,"(1170, 476, 1278, 511)",0.21835417807113242
317,2024-04-18 11:41:53,MR16BT5297,"(208, 402, 330, 433)",0.10259640476905503
317,2024-04-18 11:41:53,MR16BT5297,"(1174, 475, 1278, 507)",0.8092385457559373
318,2024-04-18 11:41:53,MP16BT5797,"(215, 402, 333, 433)",0.17531880158965435
318,2024-04-18 11:41:54,MP16BT5797,"(1183, 474, 1278, 505)",0.2863613408069286
319,2024-04-18 11:41:54,MP16BT5797,"(218, 402, 336, 433)",0.17576842046946606
320,2024-04-18 11:41:55,MR16BT5797,"(220, 405, 339, 434)",0.0954890455065385
321,2024-04-18 11:41:55,JP16BL5797,"(220, 407, 341, 435)",0.13284191775481258
321,2024-04-18 11:41:55,JP16BL5797,"(198, 267, 353, 294)",0.17552146740596183
324,2024-04-18 11:41:57,MR16BI5797,"(224, 411, 347, 439)",0.14797952333217487
324,2024-04-18 11:41:57,MR16BI5797,"(205, 271, 358, 299)",0.48234490289487114
325,2024-04-18 11:41:57,MR18BS5797,"(226, 412, 350, 439)",0.10479164768198419
332,2024-04-18 11:42:02,MP15BL5292,"(245, 413, 359, 443)",0.1516286343631119
332,2024-04-18 11:42:02,MP15BL5292,"(224, 282, 371, 308)",0.13237001150549532
